"Parameter","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS","Temp","TL"
"N1_0[4]",192757.770623669,85.1461379388043,7395.73522366621,178059.13331005,187778.718280757,192764.089702324,197684.099938101,207188.913569785,7485,1.00066009612731,1,180577.245810389,192764.089702324,204843.815429087,211.295498630934,104.373231638194,112.555922789703,115.415634029676,219.399481989924,60.2097391546795,7555,7978,20,2
"N2_0[1]",0.227656478049148,0.00221076750514516,0.191121935488891,0.00833028693484298,0.079564763913036,0.177726134630306,0.329739823654834,0.70601765880919,7404,1.00112572393867,1,0.0166259638537338,0.177726134630306,0.603840637026625,0.000630021536921575,0.0018967897144888,0.00299186543249823,0.00340025290837337,0.00838506952005219,0.00156330970483441,5378,4381,20,2
"N2_0[2]",0.301248736723725,0.00212409622616311,0.201286869592574,0.0278635114057286,0.146324907164869,0.266552875694974,0.41688560598238,0.789892840540687,8971,1.00031026040593,1,0.0441471251470785,0.266552875694974,0.681743240303909,0.00177730208023751,0.00259142416912093,0.00292701522977054,0.00323299915039718,0.00840335420273902,0.00150201162629388,6660,4983,20,2
"N2_0[3]",0.252550298629853,0.00250814140248665,0.184700029421885,0.0263493415377321,0.112970669743949,0.209506572716063,0.346548417348007,0.718467976834599,5393,1.000334591666,1,0.039221442378412,0.209506572716063,0.617595957452123,0.000977563946171454,0.00195981839976359,0.00270910849296857,0.004023442154441,0.00908850840863334,0.00177361919307087,5101,5970,20,2
"N2_0[4]",0.117409922351779,0.000869720682202344,0.0729835615114819,0.00766611254005926,0.0594448317592322,0.109032206732267,0.165342973259331,0.27672177077487,7039,1.00116637342413,1,0.0151060470745348,0.109032206732267,0.249358963837105,0.000929387113910079,0.00132253308644476,0.00102938067059821,0.00109125612202604,0.00215718969518774,0.000615010864412158,5512,3741,20,2
"r",0.243832122870299,0.000662076043312059,0.0416917661306216,0.169908833484339,0.215181906792416,0.240414731662106,0.269902785805537,0.33274341281843,3957,1.00084166478524,1,0.18028916456508,0.240414731662106,0.316999125155732,0.00102598451868761,0.000635604545652438,0.000664291703728268,0.000978498616796053,0.00155997846374797,0.000468522590578314,4005,6075,23,2
"Q",1.29029868433485e-07,1.11984107309562e-09,7.81275477473106e-08,1.81829699016316e-08,6.75471222514811e-08,1.16949613375838e-07,1.7857336745682e-07,3.08247694454608e-07,4853,1.00048667953514,1,2.52273679759343e-08,1.16949613375838e-07,2.73208098916506e-07,9.08892605081763e-10,1.27809252735666e-09,1.49328130488474e-09,1.45247900805238e-09,2.47863452302501e-09,7.91894670695288e-10,3779,3113,23,2
"a1",0.893594477727018,0.00489246242825139,0.290089845193758,0.429346999135419,0.681678346484263,0.853983701782807,1.06768564497404,1.55122930392177,3506,1.00107597743593,1,0.485716091126005,0.853983701782807,1.44031153897283,0.00425244089343449,0.00339839716947987,0.00454654520208825,0.00693507483835587,0.0117134601060718,0.00367903508593606,3836,3248,23,2
"e1",1.11349822921862e-05,7.86163432237053e-08,5.09922667328586e-06,4.22757484515501e-06,7.63617775712154e-06,1.02135474991155e-05,1.35169545981086e-05,2.34913740480525e-05,4202,1.00023178460677,1,4.89515934154993e-06,1.02135474991155e-05,2.04658853248509e-05,5.32216898820328e-08,6.5181380573374e-08,7.20253919025685e-08,1.06256872005374e-07,4.42195898436343e-07,5.55940037234984e-08,4215,6058,23,2
"d1",1.98337253995476,0.00737668163446035,0.538634242908151,1.0556504904119,1.58413626793606,1.94354718316159,2.34661102544746,3.119632963402,5267,1.00030558138894,1,1.16164992109311,1.94354718316159,2.94542835344465,0.00902295314881729,0.00619321917837479,0.00950701714771518,0.00923564236980656,0.0181824544817781,0.00541829231587752,5453,5022,23,2
"h1",8.93742145489514e-07,1.12098570317296e-08,7.73749974872873e-07,2.6418339388311e-08,3.05672870079029e-07,7.10676300818529e-07,1.28180423865367e-06,2.72517540025532e-06,4759,1.0000684262943,1,5.25542226046832e-08,7.10676300818529e-07,2.31717476521337e-06,1.85429481526655e-09,6.87370239379463e-09,1.06639480008317e-08,1.78961913241037e-08,5.2940524630724e-08,7.92705123206384e-09,4528,5696,23,2
"w1",2.32257806638261,0.00733246739723361,0.543055250702749,1.36951311690182,1.9336456977648,2.28409676335401,2.67258953494295,3.48616841103829,5476,1.00041986786068,1,1.49161408095236,2.28409676335401,3.28628492044158,0.0103360680440054,0.00594658273863125,0.00842262027067764,0.0119409673169231,0.0295524893380747,0.0054907528594875,5732,4265,23,2
"B",0.0809089642396213,0.000400756851850309,0.0226680755530506,0.045818004143667,0.0645357323304003,0.0773844978438815,0.0940091052162493,0.134503415908323,3160,1.00102215223008,1,0.0502000755371342,0.0773844978438815,0.124328487724955,0.000523304711816493,0.000220843604689692,0.000329629379297827,0.000622491800556117,0.00124891714533772,0.00029183399499549,3391,3770,23,2
"N1_0[1]",186258.946978386,786.528005554546,68098.2823765284,79171.7798242656,136934.572811709,177851.269247158,226586.178965193,341559.529375665,7467,1.00021639974496,1,90931.8868824202,177851.269247158,311167.578798301,1045.48134300284,669.924194854044,919.835104740312,1312.83446486853,2719.79266523264,565.606216942703,7313,7547,23,2
"N1_0[2]",172754.239443152,859.70487289208,66457.6619651617,71186.9655124115,123214.294773139,163558.560955764,212281.989248768,326586.924679438,5967,0.999975573462853,1,81847.7048594001,163558.560955764,297095.958112072,914.608061535386,954.215485241504,1056.7171120969,1131.76347455879,2943.17407262791,607.932818199268,5679,6992,23,2
"N1_0[3]",197598.210234943,860.754935778988,67982.1318194726,89040.9725502767,147649.772975595,190214.525019481,240194.583197369,346335.40025058,6190,1.00014476174988,1,101468.336253482,190214.525019481,320433.269763363,1265.69869561453,931.030597813777,1054.54556650788,1151.3870046146,2571.3254958714,610.206485885407,6295,7561,23,2
"N1_0[4]",289562.522696334,981.330113776092,81541.2716420523,150961.492697982,231212.985108472,281970.299653411,340824.888642882,468822.012161766,6900,1.0002170180102,1,168596.974515057,281970.299653411,436320.825532373,1443.7653503545,1222.33396462527,1095.03481067286,1417.38023729646,4317.43799408292,697.196697671934,6917,6823,23,2
